aspect,rank,category,total_term_count,distinct_terms,frequent_terms,distinctive_terms
Suicide or Self Harm Ideation,1,General Suicidal Ideation (No Specific Action),147041,2565,kill (15359); end (8707); suicide (7042); die (5674); want (3914); life (2597); suicidal (2106); thought (1712),painless (230); quickest (22); drastic (39); kms (196); plan (751); check (111); quick (82); research (22)
Suicide or Self Harm Ideation,2,Suicide Methods or actions,76714,2267,kill (12193); suicide (3814); end (2585); life (1707); die (1451); attempt (1148); commit (977); want (816),assist (45); commit (977); himself (291); euthanasia (25); shoot (144); tak (240); trigger (85); overdose (90)
Suicide or Self Harm Ideation,3,Methods or actions of Self-Harm or harming others,17894,1432,hurt (898); self (807); harm (787); want (410); suicidal (353); thought (276); kill (266); cut (248),cutt (123); cut (248); destructive (58); relaps (35); ble (38); relapse (29); wrist (51); destruct (34)
Suicide or Self Harm Ideation,4,Other Violent Methods,8531,973,kill (1027); end (213); die (208); suicide (193); life (180); want (119); wish (99); take (71),car (40); hit (27); accident (22); someone (29); tak (23); sleep (40); take (71); get (44)
Suicide or Self Harm Ideation,5,Passive Suicidal Ideation (No Intention or Plan),8085,862,sleep (276); die (250); wake (186); want (138); give (116); never (108); away (101); forever (98),sleep (276); wake (186); asleep (46); forever (98); fall (54); fade (30); away (101); slowly (25)
Suicide or Self Harm Ideation,6,Jumping,4314,626,jump (376); off (212); bridge (108); want (104); kill (72); end (52); front (50); think (44),jump (376); bridge (108); front (50); train (44); build (41); traffic (20); cliff (26); off (212)
Suicide or Self Harm Ideation,7,Firearms,3505,549,shoot (118); blow (99); brain (91); head (86); kill (82); gun (61); end (59); want (59),shoot (118); blow (99); gun (61); brain (91); bullet (45); trigger (51); head (86); pull (50)
Suicide or Self Harm Ideation,8,Poisoning,3133,595,kill (124); die (65); suicide (63); overdose (55); want (52); end (50); pill (50); take (44),pill (50); overdose (55); overdos (24); take (44); wish (25)
Suicide or Self Harm Ideation,9,Suffocation,1960,427,hang (197); want (41); think (33); kill (29); suicide (26); rope (23); die (21); thought (21),hang (197); rope (23); think (33)
Suicide or Self Harm Ideation,10,Cutting and Scratching,1939,405,want (66); cut (60); kill (54); suicide (51); suicidal (44); self (42); hurt (40); thought (38),wrist (30); slit (22); cut (60); cutt (32)
"Methods or actions of Suicide, Self Harm or harming others",1,Suicide Methods or actions,40862,3079,kill (1188); suicide (996); pill (978); gun (691); hang (647); jump (642); attempt (517); off (450),painless (113); way (196); material (21); quick (49); easy (38); research (30); plan (38); painlessly (24)
"Methods or actions of Suicide, Self Harm or harming others",2,Methods or actions of Self-Harm or harming others,34760,2974,cut (1384); self (867); harm (854); cutt (835); wrist (555); knife (481); kill (402); hurt (398),cut (1384); scar (80); cutt (835); arm (303); destroy (50); physically (37); people (102); deeper (46)
"Methods or actions of Suicide, Self Harm or harming others",3,Poisoning,30800,2529,pill (2336); overdose (898); bottle (502); overdos (495); sleep (481); take (399); alcohol (387); kill (307),pill (2336); overdose (898); overdos (495); tablet (99); ibuprofen (108); bottle (502); alcohol (387); 10mg (32)
"Methods or actions of Suicide, Self Harm or harming others",4,Suffocation,17256,1407,hang (2128); rope (661); noose (506); neck (311); belt (238); pill (188); bag (176); jump (160),hang (2128); noose (506); rope (661); hung (124); belt (238); tied (119); suspension (46); suffocate (78)
"Methods or actions of Suicide, Self Harm or harming others",5,Cutting and Scratching,16179,1419,cut (1307); cutt (812); wrist (694); knife (448); slit (262); arm (241); self (193); razor (190),cut (1307); cutt (812); wrist (694); arm (241); razor (190); knife (448); slic (63); slit (262)
"Methods or actions of Suicide, Self Harm or harming others",6,Jumping,15393,1253,jump (1585); off (932); bridge (500); train (331); build (316); front (296); car (280); hang (163),jump (1585); bridge (500); front (296); build (316); train (331); off (932); story (64); cliff (103)
"Methods or actions of Suicide, Self Harm or harming others",7,Firearms,14237,1168,gun (1430); head (540); shoot (536); shotgun (262); trigger (258); blow (238); brain (238); pull (226),gun (1430); shotgun (262); trigger (258); shoot (536); blow (238); bullet (211); brain (238); mouth (151)
"Methods or actions of Suicide, Self Harm or harming others",8,Other Violent Methods,10452,1612,kill (651); suicide (226); car (210); off (92); crash (79); train (79); attempt (76); die (68),crash (79); car (210); tree (59); accident (44); drive (51); driv (39); murder (31); track (33)
"Methods or actions of Suicide, Self Harm or harming others",9,Hitting,5852,848,punch (243); head (180); beat (147); hit (139); wall (137); face (85); against (55); kick (52),punch (243); beat (147); wall (137); hit (139); slapp (24); kick (52); face (85); hitt (50)
"Methods or actions of Suicide, Self Harm or harming others",10,Sharp Objects,5510,725,knife (260); wrist (189); slit (147); throat (138); pill (127); hang (104); cut (92); jump (83),throat (138); knife (260); slit (147); slitt (77); stab (78); artery (36); knive (43); stabb (60)
